Titulo;Precio;m2;Telefono;Descripcion;Link;Direccion;Observaciones;
Calle San Luis, 40;900;150;;  ;https://belbex.com/detalles/calle-san-luis-40/it8182/alquiler/;Calle San Luis, 40Alcorcón, Madrid, 28921;Planta Baja;
Calle San Nicasio, 7;700;52;;  ;https://belbex.com/detalles/calle-san-nicasio-7/bc7425/alquiler/;Calle San Nicasio, 7Leganés, Madrid, 28911;Planta Baja;
Calle Jorge Juan, 55;3.000;200;;  ;https://belbex.com/detalles/calle-jorge-juan-55/eq4537/alquiler/;Calle Jorge Juan, 55Salamanca, Madrid, 28001;Planta Baja;
Calle Melendez Valdes, 51;2.133;143;;  ;https://belbex.com/detalles/calle-melendez-vald-s-51/oi8196/alquiler/;Calle Meléndez Valdés, 51Chamberí, Madrid, 28015;Planta Baja;
Calle Padre Damian, 9;3.900;80;;  ;https://belbex.com/detalles/calle-padre-damian-9/os4743/alquiler/;Calle Padre Damián, 9Chamartín, Madrid, 28036;Planta Baja;
Centro Comercial Uruguay, Calle Uruguay, 12;700;110;;  ;https://belbex.com/detalles/centro-comercial-uruguay-calle-uruguay-12/ci0679/alquiler/;Centro Comercial Uruguay, Calle Uruguay, 12Coslada, Madrid, 28820;Planta Baja;
Centro Comercial Uruguay, Calle Uruguay, 12;400;32;;  ;https://belbex.com/detalles/centro-comercial-uruguay-calle-uruguay-12/lv0633/alquiler/;Centro Comercial Uruguay, Calle Uruguay, 12Coslada, Madrid, 28820;Planta Baja;
Calle Alberto Aguilera, 14;7.000;154;;  ;https://belbex.com/detalles/calle-alberto-aguilera-14/qh0204/alquiler/;Calle Alberto Aguilera, 14Chamberí, Madrid, 28015;Planta Baja;
Calle Don Ramon de la Cruz, 28;12.900;527;;  ;https://belbex.com/detalles/calle-don-ramon-de-la-cruz-28/xx6291/alquiler/;Calle Don Ramón de la Cruz, 28Salamanca, Madrid, 28001;Planta Baja;
Calle Claudio Coello;5.300;90;;  ;https://belbex.com/detalles/calle-claudio-coello/ud1969/alquiler/;Calle Claudio CoelloSalamanca, Madrid, 28001;Planta Baja;
Calle Antonio Maura, 20;5.500;160;;  ;https://belbex.com/detalles/calle-antonio-maura-20/vs2355/alquiler/;Calle Antonio Maura, 20Retiro, Madrid, 28014;Planta Baja;
Calle Velazquez, 7;11.000;440;;  ;https://belbex.com/detalles/calle-velazquez-7/lk2637/alquiler/;Calle Velázquez, 7Salamanca, Madrid, 28001;Planta Baja;
Barrio Justicia;4.500;297;;  ;https://belbex.com/detalles/barrio-justicia/eq6634/alquiler/;Barrio JusticiaCentro, Madrid, 28004;Planta Baja;
Zone Recoletos;3.500;90;;  ;https://belbex.com/detalles/zone-recoletos/hv5820/alquiler/;Zone RecoletosSalamanca, Madrid, 28001;Planta Baja;
Edificio Girasol, Calle Ortega y Gasset, 23;3.500;100;;  ;https://belbex.com/detalles/edificio-girasol-calle-ortega-y-gasset-23/mn4531/alquiler/;Edificio Girasol, Calle Ortega y Gasset, 23Salamanca, Madrid, 28006;Planta Baja;
Calle Conde de Aranda;1.800;104;;  ;https://belbex.com/detalles/calle-conde-de-aranda/sn6760/alquiler/;Calle Conde de ArandaSalamanca, Madrid, 28001;Planta Semisótano;
Calle Estrella de Elola;3.500;111;;  ;https://belbex.com/detalles/calle-estrella-de-elola/uh1989/alquiler/;Calle Estrella de ElolaValdemoro, Madrid, 28341;Planta Baja;
Zona del Reston;1.200;142;;  ;https://belbex.com/detalles/zona-del-reston/vf3880/alquiler/;Zona del RestónValdemoro, Madrid, 28340;Planta Baja;
Calle Cristobal Bordiu;4.000;400;;  ;https://belbex.com/detalles/calle-cristobal-bordiu/zs2439/alquiler/;Calle Cristóbal BordiúChamberí, Madrid, 28003;Planta Baja;
Calle Larra, 10;1.100;98;;  ;https://belbex.com/detalles/calle-larra-10/bz9725/alquiler/;Calle Larra, 10Centro, Madrid, 28004;Planta Baja;
Calle Goya, 1;325;90;;  ;https://belbex.com/detalles/calle-goya-1/yg9751/alquiler/;Calle Goya, 1San Martín de la Vega, Madrid, 28330;Planta Baja;
Calle Castello, 47;1.600;89;;  ;https://belbex.com/detalles/calle-castello-47/qt5781/alquiler/;Calle Castelló, 47Salamanca, Madrid, 28001;Planta Baja;
Calle Francia;700;75;;  ;https://belbex.com/detalles/calle-francia/qz6935/alquiler/;Calle FranciaFuenlabrada, Madrid, 28943;Planta Baja;
Calle Holanda;600;72;;  ;https://belbex.com/detalles/calle-holanda/vh8727/alquiler/;Calle HolandaFuenlabrada, Madrid, 28943;Planta Baja;
Calle Prudencio Alvaro;2.420;510;;  ;https://belbex.com/detalles/calle-prudencio-lvaro/bb9444/alquiler/;Calle Prudencio ÁlvaroCiudad Lineal, Madrid, 28027;Planta Semisótano;
Calle Valle de Cueto;6.700;1.745;;  ;https://belbex.com/detalles/calle-valle-de-cueto/so7688/alquiler/;Calle Valle de CuetoVillanueva del Pardillo, Madrid, 28229;Planta Baja;
Avenida Juan Carlos I;650;148;;  ;https://belbex.com/detalles/avenida-juan-carlos-i/gd8837/alquiler/;Avenida Juan Carlos IGetafe, Madrid, 28905;Planta Baja;
Calle Miguel Servert;4.000;385;;  ;https://belbex.com/detalles/calle-miguel-servert/fw9990/alquiler/;Calle Miguel ServertCentro, Madrid, 28012;Planta Baja;
Zona Gaztambide;1.300;100;;  ;https://belbex.com/detalles/zona-gaztambide/lu4958/alquiler/;Zona GaztambideChamberí, Madrid, 28015;Planta Baja;
Calle Pilarica;600;60;;  ;https://belbex.com/detalles/calle-pilarica/fj8304/alquiler/;Calle PilaricaUsera, Madrid, 28026;Planta Baja;
Calle Santander;12.000;950;;  ;https://belbex.com/detalles/calle-santander/tf5441/alquiler/;Calle SantanderAlcalá de Henares, Madrid, 28801;Planta Baja;
Calle Rodriguez San Pedro;1.198;49;;  ;https://belbex.com/detalles/calle-rodriguez-san-pedro/ei6876/alquiler/;Calle Rodríguez San PedroChamberí, Madrid, 28015;Planta Baja;
