estacion;codigo;lat;lon;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19
NUEVOS MINISTERIOS;193;40.44616521440191;-3.6921497286009908;1.622.249;1.628.280;1.706.969;1.513.873;1.545.851;1.374.740;1.251.865;826.457;1.415.090;1.673.169;1.554.440;1.396.065
NUEVOS MINISTERIOS;155;40.44613872918204;-3.6921497286009908;1.622.249;1.628.280;1.706.969;1.513.873;1.545.851;1.374.740;1.251.865;826.457;1.415.090;1.673.169;1.554.440;1.396.065
EMPALME;101;40.39172925915081;-3.765909203712588;114.671;113.092;120.602;107.011;114.439;110.293;95.846;67.323;107.641;125.708;121.033;115.550
GETAFE CENTRAL;226;40.31250313809608;-3.7353603202876213;275.873;268.020;289.455;257.735;270.336;262.981;226.690;165.753;265.802;306.193;289.830;263.908
TRIBUNAL;10;40.42623067224216;-3.7010755826976816;543.799;531.285;571.394;508.995;539.244;522.044;457.972;332.959;536.697;596.289;577.949;544.199
TRIBUNAL;196;40.42604527570303;-3.7020568355321526;543.799;531.285;571.394;508.995;539.244;522.044;457.972;332.959;536.697;596.289;577.949;544.199
CARPETANA;105;40.39366268020173;-3.741448816790662;284.120;279.200;306.878;279.434;300.890;292.107;275.072;213.470;290.592;333.502;314.188;294.939
OPAÑEL;107;40.387871245455585;-3.7235852862739733;199.776;198.283;213.610;196.345;205.425;199.664;180.612;135.189;197.768;231.706;219.107;203.935
CONDE DE CASAL;113;40.40722311277807;-3.670479409979487;479.250;485.714;516.431;461.728;479.624;473.786;425.545;291.456;481.919;567.757;526.222;460.356
VICENTE ALEIXANDRE;123;40.446182871215164;-3.719234671297043;154.168;198.430;202.674;166.449;157.286;119.547;99.926;42.368;211.695;238.445;221.351;140.355
ALTO DE EXTREMADURA;129;40.4105249368559;-3.7391907530390487;196.038;195.310;206.064;188.718;195.664;187.404;170.372;122.958;192.457;226.748;218.162;193.204
TIRSO DE MOLINA;13;40.41268789647908;-3.704787792216041;348.906;350.917;385.179;347.935;361.741;343.762;301.239;236.654;323.372;386.789;368.296;353.138
LAS TABLAS;276;40.50654268731179;-3.668505081987239;168.363;168.869;178.627;158.384;168.752;167.015;140.236;86.605;158.355;189.173;178.867;151.541
CASA DE CAMPO;103;40.40411551364599;-3.7614167208559754;120.557;123.593;138.571;125.034;131.348;127.129;111.013;89.391;122.568;144.715;129.981;121.670
CASA DE CAMPO;201;40.404080200019486;-3.7614167208559754;120.557;123.593;138.571;125.034;131.348;127.129;111.013;89.391;122.568;144.715;129.981;121.670
CIUDAD UNIVERSITARIA;124;40.44341075153484;-3.7266472680104537;379.202;559.338;553.155;433.193;388.920;316.188;203.943;58.980;553.925;686.387;587.754;374.444
VINATEROS;176;40.41033071191014;-3.6527222803725596;181.435;176.399;186.152;164.462;171.944;164.747;133.886;88.424;160.749;199.055;190.530;173.620
ARTILLEROS;177;40.40535149057352;-3.6418102759603137;218.325;211.717;226.579;202.401;212.449;207.869;176.338;120.985;200.084;240.002;229.813;215.095
NUEVA NUMANCIA;20;40.39598455114416;-3.6643081572132985;355.158;342.439;374.099;343.691;360.925;355.486;332.914;263.050;342.070;390.202;375.810;376.792
SAN CIPRIANO;181;40.40376237738098;-3.6022882491454284;67.736;64.428;68.050;61.842;64.253;64.417;56.651;39.750;60.469;72.671;70.769;68.516
ALAMEDA DE OSUNA;252;40.45658273421967;-3.586895584199876;124.832;122.022;132.303;118.272;124.740;123.160;109.288;75.297;113.722;136.787;129.007;122.498
ESTACIÓN DEL ARTE;15;40.40919184745549;-3.692610799209959;219.371;224.514;265.060;248.096;238.029;228.203;217.005;163.658;219.770;246.778;239.118;247.538
LA GAVIA;293;40.37086773429541;-3.6136967911365634;97.576;95.868;101.509;91.173;94.783;94.789;87.394;62.956;95.887;115.358;108.711;101.923
GOYA;30;40.424473819323744;-3.6758231001141954;599.621;488.297;489.996;440.544;463.891;545.594;471.878;331.078;502.450;593.463;596.264;619.128
GOYA;61;40.424738671522505;-3.6767688859787455;599.621;488.297;489.996;440.544;463.891;545.594;471.878;331.078;502.450;593.463;596.264;619.128
RETIRO;32;40.420377438649645;-3.6862385669475524;194.709;151.577;177.840;152.476;162.643;279.242;229.460;180.256;228.535;250.803;217.866;220.943
SANTO DOMINGO;37;40.42149864629105;-3.708003464155511;145.866;103.809;110.103;97.411;94.380;130.622;121.547;95.844;134.640;157.836;157.986;165.457
SAN BERNARDO;39;40.43000923027776;-3.705520776261067;248.806;248.535;254.532;225.012;226.542;220.666;209.530;147.359;258.981;277.986;266.313;229.214
SAN BERNARDO;55;40.42966492241938;-3.705627177170829;248.806;248.535;254.532;225.012;226.542;220.666;209.530;147.359;258.981;277.986;266.313;229.214
LAS SUERTES;294;40.36397274872112;-3.5997700942810633;172.171;154.334;165.413;153.201;160.698;163.730;150.454;119.591;158.221;179.848;178.169;187.829
VALDECARROS;295;40.36084749277579;-3.5934096843419647;69.930;68.264;72.926;66.019;70.250;69.764;64.823;48.043;69.648;84.077;78.903;75.169
IGLESIA;8;40.43477656985538;-3.6988529859159893;326.652;317.751;335.662;305.814;320.881;306.612;261.258;163.583;293.701;368.516;358.478;309.315
CUZCO;191;40.45775691230082;-3.6894660612103296;328.192;322.658;342.544;311.773;317.588;321.422;297.592;185.061;312.828;377.288;349.339;297.035
PUERTA DEL SUR;205;40.347622539651205;-3.8133758317896937;239.249;235.586;257.149;232.264;247.112;240.917;212.620;150.110;235.362;276.113;257.763;235.134
PUERTA DEL SUR;209;40.347807936190335;-3.813754146135514;239.249;235.586;257.149;232.264;247.112;240.917;212.620;150.110;235.362;276.113;257.763;235.134
ABRANTES;207;40.381947384610065;-3.728444261153099;73.524;71.418;78.021;71.509;73.924;71.618;64.704;50.020;66.286;77.492;76.520;72.845
PORTAZGO;21;40.393132975804214;-3.658858066168828;205.906;197.098;212.774;196.450;202.128;201.943;186.533;141.568;195.695;225.079;217.132;230.177
SAN BLAS;133;40.42751961960945;-3.6151745815499226;112.585;119.092;126.736;114.328;119.214;111.349;97.877;72.547;110.909;129.475;123.200;110.744
SIMANCAS;134;40.427572590049195;-3.6254600028269044;172.282;170.200;186.189;171.933;181.099;173.600;161.391;126.098;167.685;190.148;183.308;176.290
PARQUE OESTE;212;40.34852303712698;-3.850746195762728;81.504;75.867;83.608;70.791;74.489;72.872;65.217;51.912;81.979;92.117;95.632;92.637
